Gene ID;Gene Name or Symbol;Product Description;Variantome;Fraschka;ChIP on ChIP;Our ChIP seq;Likely Variant ;Final LC;Final Customized;Final HC
PF3D7_0100100;VAR;erythrocyte membrane protein 1, PfEMP1;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0100200;RIF;rifin;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0100300;VAR;erythrocyte membrane protein 1, PfEMP1;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0100400;RIF;rifin;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0100500;N/A;erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene;;YES - HC;;YES;YES;YES;YES;YES
PF3D7_0100600;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0100700;N/A;Plasmodium exported protein, unknown function, fragment;;YES - HC;;YES;;YES;YES;YES
PF3D7_0100800;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0100900;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0101000;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0101100;EPF4;exported protein family 4;;;;YES;;YES;YES;
PF3D7_0101200;EPF3;exported protein family 3;;;;YES;;YES;YES;
PF3D7_0101300;MC-2TM;Pfmc-2TM Maurer's cleft two transmembrane protein;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0101400;EPF1;exported protein family 1, pseudogene;;;YES;YES;;YES;YES;YES
PF3D7_0101500;VAR;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;;;;YES;YES;YES;YES;
PF3D7_0101600;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0101700;VAR;erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene;;;YES;YES;YES;YES;YES;YES
PF3D7_0101800;N/A;stevor;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0101900;RIF;rifin;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0102000;N/A;Plasmodium exported protein (PHISTa), unknown function, pseudogene;YES;YES - HC;YES;YES;;YES;YES;YES
PF3D7_0102100;N/A;stevor, pseudogene;;YES - HC;YES;YES;YES;YES;YES;YES
PF3D7_0102200;RESA;ring-infected erythrocyte surface antigen;YES;Yes - Strains;;YES;;YES;YES;YES
PF3D7_0102300;N/A;Plasmodium exported protein, unknown function;;;;;;;;
PF3D7_0102400;N/A;lysophospholipase, putative, pseudogene;;;;;;;;
PF3D7_0102500;EBA181;erythrocyte binding antigen-181;;Yes - Strains;;;;YES;;
PF3D7_0102600;FIKK1;serine/threonine protein kinase, FIKK family;;;;;;;;
PF3D7_0102700;MaTrA;merozoite-associated tryptophan-rich antigen;;;;;;;;
PF3D7_0102800;N/A;seipin domain-containing protein, putative;;;;;;;;
PF3D7_0102900;N/A;aspartate--tRNA ligase;;;;;;;;
PF3D7_0103000;N/A;vacuolar protein sorting-associated protein VTA1, putative;;;;;;;;
PF3D7_0103100;VPS51;vacuolar protein sorting-associated protein 51, putative;;;;;;;;
PF3D7_0103200;NT4;nucleoside transporter 4;;;;;;;;
PF3D7_0103300;N/A;conserved protein, unknown function;;;;;;;;
PF3D7_0103400;N/A;zinc-carboxypeptidase, putative;;;;;;;;
PF3D7_0103500;N/A;conserved Plasmodium protein, unknown function;;;;;;;;
