"","ctl-treatA_MaxVal","ctl-treatB_MaxVal","treatA-treatB_MaxVal","ctl-treatA_MaxTime","ctl-treatB_MaxTime","treatA-treatB_MaxTime"
"1396.pre-tRNA-Pro-1",-2.73816865896723,-2.17885914245284,1.73614685692294,"ring","ring","ring"
"A-type_18S:rRNA",-2.92456146929635,-1.80960350950429,1.51527600803375,"ring","ring","ring"
"A-type_28S:rRNA",-1.57728986678026,0.694585575587524,1.29540510439131,"ring","ring-ring","ring"
"BSD",-0.811316422031855,-0.832612884454042,-0.633670952235786,"ring-ring","ring-ring","ring"
"Cas9",-1.23262873071537,-0.662387073991388,0.715362605332709,"ring","ring","ring"
"CsA",0.940548354733044,0.841183964865757,-0.0993643898672873,"ring","ring","ring"
"DDdomain",-2.33197461235616,-1.48459409626759,0.996815085027865,"ring","ring","ring"
"DiCre",-1.76412157868384,-0.896496275172114,0.867625303511731,"ring","ring","ring"
"DsRed",-0.671852103941629,0.452717214631822,0.829178488892007,"ring","ring","ring"
"eGFP_mut2",-1.00434006458441,0.757181428493795,1.45737409450879,"ring","ring","ring"
"eYFP",-2.12918438670898,-1.46222228823877,1.26760340028871,"ring","ring","ring"
"FKBP",-0.884689349997197,-0.566002016482606,-0.434016881332079,"ring","ring","ring"
"Fluciferase",-2.01859700112161,-1.00407311702601,1.01452388409559,"ring","ring","ring"
"GFP",-1.33841605276814,-0.792224297018194,1.17830431578521,"ring","ring","ring"
"GFP_pL6",-1.95491621321922,-1.14338783484055,0.993297198883182,"ring","ring","ring"
"HA_tag",-1.37504167023791,-0.481966816723228,1.13186902276244,"ring","ring","ring"
"HsDHFR",-1.46632369416903,-0.967776686856574,1.0217168920263,"ring","ring","ring"
"Leucine",-2.14872732073932,-1.27895836322352,1.49455622220654,"ring","ring","ring"
"Lysine",-2.10388645974066,-1.21300439561019,1.40944890461774,"ring","ring","ring"
"mal_mito_1:mRNA",0.791172991971023,0.949267552897961,0.828290566187072,"ring","ring","ring"
"mal_mito_2:mRNA",-0.905670603457908,0.464664446428492,0.763947067330798,"ring","ring","ring"
"mal_mito_3:mRNA",-0.753924213579998,0.62492412077623,0.898449959976284,"ring","ring","ring"
"mal_rna_10:rRNA",-0.899029678796992,0.773138688849808,1.18971156070415,"ring","ring","ring"
"mal_rna_14:rRNA",-1.52866946347903,0.965023528702746,1.3230588109612,"ring","ring","ring"
"mal_rna_15:rRNA",-0.881269359545738,-0.185003055695036,0.758159628071441,"ring","ring","ring"
"mal_rna_17:rRNA",-1.25194004857275,0.958298441669846,1.19452630797123,"ring","ring","ring"
"mal_rna_18:rRNA",-1.16966163673915,0.62019355076565,1.39730309389619,"ring","ring","ring"
"mal_rna_19:rRNA",-1.08349084626226,0.803864805137641,1.13447976679396,"ring","ring","ring"
"mal_rna_9:rRNA",-1.20964623490371,-0.265561063242091,1.04780674661973,"ring","ring","ring"
"MAL1_5.8S:rRNA",-2.88042337520115,-1.05011329430116,2.08408940032831,"ring","ring","ring"
"MAL11/13_5.8S:rRNA",-2.87585267497452,-1.09502775488927,2.07306606711062,"ring","ring","ring"
"MAL5/7_5.8S:rRNA",-3.0312245917859,-1.28772500302267,1.84955398122363,"ring","ring","ring"
"MAL8a_5.8S:rRNA",-2.86298763035245,-1.28904554831028,2.02025577699586,"ring","ring","ring"
"malmito_rna_1:rRNA",-1.43493966021899,0.67683326744998,1.27274033076767,"ring","ring-ring","ring"
"malmito_rna_10:rRNA",-1.44274329514115,0.855038436080856,1.38411295774652,"ring","ring","ring"
"malmito_rna_LSUF:rRNA",-1.3018926853737,0.743434543921591,1.22270290702778,"ring","ring-ring","ring"
"malmito_rna_LSUG:rRNA",-1.40691780012332,0.515448859459649,1.1966579607932,"ring","ring","ring"
"malmito_rna_RNA4:rRNA",-0.683449310869636,0.19625239606643,0.837886675064961,"ring","ring","ring"
"malmito_rna_RNA5:rRNA",-1.60221398467476,0.591854635433387,1.36251639772211,"ring","ring-ring","ring"
"malmito_rna_RNA7:rRNA",-1.36497573178387,0.687306453420605,1.3957688974815,"ring","ring","ring"
"malmito_rna_SSUF:rRNA",-1.05339281351219,-0.214970534328115,0.960716020095516,"ring","ring","ring"
"malmito_SSUB:rRNA",-1.38148495176865,-0.375694915060243,1.04272950811051,"ring","ring","ring"
"mCherry",0.182166044753334,-0.269060182560361,-0.340695160568427,"ring","ring","ring"
"Mp_rRNA",NA,NA,NA,NA,NA,NA
"ncRNA_thermreg",-1.12229669047492,-0.482245531684752,0.640051158790172,"ring","ring","ring"
"neoR",-0.894571157538389,0.452201121946574,1.0498332076442,"ring","ring","ring"
"PF01TR004",-0.979556862737987,-0.126927151261307,0.992840023120615,"ring","ring-ring","ring"
"PF01TR006",-0.42364655278853,-0.764353209244631,-0.340706656456101,"ring","ring","ring"
"PF02TR003",-0.851114457070475,-0.458633923994225,0.410329729068377,"ring","ring","ring"
"PF03TR001",-0.827987988037747,0.219781111368567,0.726851268112954,"ring","ring-ring","ring"
"PF04TR001",-1.74892296071459,-1.81391585838958,0.820105599080425,"ring","ring","ring"
"PF04TR003",-1.02831974951486,-0.893014141471094,-0.231777098972602,"ring","ring-ring","ring"
"PF05TR001",0.126828761384568,0.519666360078368,0.519713973593859,"ring-ring","ring","ring"
"PF05TR003",0.754754705582,0.158406045644966,-0.596348659937034,"ring","ring","ring"
"PF06TR002",-0.603956984955387,-1.28789077785567,-0.866107949962579,"ring","ring","ring"
"PF06TR004",NA,NA,NA,NA,NA,NA
"PF06TR006",0.491139473352818,-0.422191488939766,-0.37750150228071,"ring","ring-ring","ring"
"PF07TR001",-0.249608217048523,-0.827563409507217,-0.875824333463951,"ring","ring","ring"
"PF07TR003",0.485493443757838,0.381060132839217,0.535981628033219,"ring","ring-ring","ring-ring"
"PF08TR002",0.396995578510416,-0.334541589321864,-0.610723583752561,"ring-ring","ring","ring"
"PF09TR001",0.366978059102264,-0.682850080775249,-0.613160864335354,"ring","ring-ring","ring"
"PF09TR002",0.102418743273284,1.02871634320625,1.06452515923511,"ring-ring","ring","ring"
"PF09TR003",-0.0847457005912725,0.322877446826051,0.298749099072557,"ring","ring","ring"
"PF09TR004",0.313753572387416,-0.177978760691123,-0.32599875219583,"ring","ring-ring","ring"
"PF09TR005",-0.847038351781403,0.273457089546702,0.763238678520882,"ring","ring","ring"
"PF10TR001",-1.99413469028909,-2.39437124311215,-1.13206827863726,"ring","ring","ring"
"PF10TR002",-0.162835893747053,-0.388021443250403,-0.360226325964355,"ring","ring","ring"
