"","ctl-treatA_Left","ctl-treatA_Right","ctl-treatA_Middle","ctl-treatA_Sides","ctl-treatA_MaxVal","ctl-treatA_MaxTime","ctl-treatB_Left","ctl-treatB_Right","ctl-treatB_Middle","ctl-treatB_Sides","ctl-treatB_MaxVal","ctl-treatB_MaxTime","treatA-treatB_Left","treatA-treatB_Right","treatA-treatB_Middle","treatA-treatB_Sides","treatA-treatB_MaxVal","treatA-treatB_MaxTime"
"1396.pre-tRNA-Pro-1",-0.274792421750138,-2.73816865896723,-2.56157269133597,-0.451388389381409,-2.73816865896723,"Right",-1.57653162581696,-1.00202180204429,-2.17885914245284,-0.399694285408418,-2.17885914245284,"Mid",-1.30173920406683,1.73614685692294,0.38271354888313,0.0516941039729901,1.73614685692294,"Right"
"A-type_18S:rRNA",-0.659660706118982,-2.42999729456556,-2.92456146929635,-0.165096531388193,-2.92456146929635,"Mid",-0.755680217277157,-0.914721286531806,-1.80960350950429,0.139202005695331,-1.80960350950429,"Mid",-0.096019511158175,1.51527600803375,1.11495795979205,0.304298537083524,1.51527600803375,"Right"
"A-type_28S:rRNA",-0.690292644474294,-0.76246985178942,-1.57728986678026,0.124527370516548,-1.57728986678026,"Mid",0.401073484734796,0.011627328463779,-0.281884762388949,0.694585575587523,0.694585575587523,"Sides",1.09136612920909,0.774097180253199,1.29540510439131,0.570058205070975,1.29540510439131,"Mid"
"BSD",-0.281357210996428,0.00352305215786209,0.533482263193288,-0.811316422031855,-0.811316422031855,"Sides",-0.43935051969144,-0.4934510538051,-0.100188689042498,-0.832612884454042,-0.832612884454042,"Sides",-0.157993308695011,-0.496974105962962,-0.633670952235786,-0.0212964624221873,-0.633670952235786,"Mid"
"Cas9",-0.311161356474307,-0.770592450968028,-1.23262873071537,0.150874923273031,-1.23262873071537,"Mid",-0.662387073991388,-0.0552298456353189,-0.572907309455621,-0.144709610171087,-0.662387073991388,"Left",-0.351225717517081,0.715362605332709,0.659721421259745,-0.295584533444118,0.715362605332709,"Right"
"CsA",-0.593462936672469,0.940548354733044,0.571446157982634,-0.224360739922059,0.940548354733044,"Right",-0.594926545302124,0.841183964865757,0.539799280387916,-0.293541860824283,0.841183964865757,"Right",-0.0014636086296551,-0.0993643898672873,-0.0316468775947182,-0.0691811209022244,-0.0993643898672873,"Right"
"DDdomain",-1.16160535286321,-1.77228814221536,-2.33197461235616,-0.601918882722412,-2.33197461235616,"Mid",-1.48459409626759,-0.840887092900045,-1.33515952732829,-0.990321661839342,-1.48459409626759,"Left",-0.322988743404376,0.931401049315311,0.996815085027865,-0.388402779116929,0.996815085027865,"Mid"
"DiCre",-0.793858499498538,-1.35625216217567,-1.76412157868384,-0.385989082990362,-1.76412157868384,"Mid",-0.851486606711108,-0.524888004413162,-0.896496275172114,-0.479878335952156,-0.896496275172114,"Mid",-0.0576281072125698,0.831364157762508,0.867625303511731,-0.093889252961794,0.867625303511731,"Mid"
"DsRed",0.22662886168348,-0.376461274260185,-0.671852103941629,0.522019691364924,-0.671852103941629,"Mid",-0.115620547051476,0.452717214631822,0.00207395761044382,0.335022709969903,0.452717214631822,"Right",-0.342249408734956,0.829178488892008,0.673926061552073,-0.186996981395021,0.829178488892008,"Right"
"eGFP_mut2",-0.170149079855428,-0.700192666014999,-1.00434006458441,0.133998318713984,-1.00434006458441,"Mid",-0.0573091913387925,0.757181428493795,0.108360798989766,0.591511438165236,0.757181428493795,"Right",0.112839888516635,1.45737409450879,1.11270086357418,0.457513119451252,1.45737409450879,"Right"
"eYFP",-1.08668993350966,-1.64187746726882,-2.12918438670898,-0.599383014069504,-2.12918438670898,"Mid",-1.46222228823877,-0.374274066980109,-1.31041067563342,-0.526085679585453,-1.46222228823877,"Left",-0.375532354729109,1.26760340028871,0.818773711075554,0.0732973344840508,1.26760340028871,"Right"
"FKBP",0.0753422855976012,-0.78290330386581,-0.884689349997197,0.177128331728988,-0.884689349997197,"Mid",-0.358674595734478,-0.434322000025665,-0.566002016482606,-0.226994579277537,-0.566002016482606,"Mid",-0.434016881332079,0.348581303840145,0.31868733351459,-0.404122911006524,-0.434016881332079,"Left"
"Fluciferase",-0.960301989034735,-1.55310776095983,-2.01859700112161,-0.494812748872955,-2.01859700112161,"Mid",-0.9800374105179,-0.557161946589207,-1.00407311702601,-0.533126240081094,-1.00407311702601,"Mid",-0.0197354214831652,0.99594581437062,1.01452388409559,-0.0383134912081393,1.01452388409559,"Mid"
"GFP",-0.417076198687501,-1.12596880138458,-1.33841605276814,-0.204628947303947,-1.33841605276814,"Mid",-0.792224297018195,0.0523355144006239,-0.653783703834911,-0.0861050787826595,-0.792224297018195,"Left",-0.375148098330694,1.17830431578521,0.684632348933227,0.118523868521287,1.17830431578521,"Right"
"GFP_pL6",-0.948455562003984,-1.66419080176904,-1.95491621321922,-0.657730150553808,-1.95491621321922,"Mid",-1.14338783484055,-0.67089360288586,-1.07879278309317,-0.735488654633239,-1.14338783484055,"Left",-0.194932272836564,0.993297198883182,0.876123430126049,-0.0777585040794305,0.993297198883182,"Right"
"HA_tag",-0.33291348131737,-1.07411190790502,-1.37504167023791,-0.0319837189844789,-1.37504167023791,"Mid",-0.481966816723228,0.0577571148574196,-0.369581418099976,-0.0546282837658325,-0.481966816723228,"Left",-0.149053335405858,1.13186902276244,1.00546025213794,-0.0226445647813536,1.13186902276244,"Right"
"HsDHFR",-0.533460066170299,-1.03652604250357,-1.46632369416903,-0.103662414504842,-1.46632369416903,"Mid",-0.967776686856574,-0.0148091504772737,-0.606634542892963,-0.375951294440883,-0.967776686856574,"Left",-0.434316620686275,1.0217168920263,0.859689151276065,-0.272288879936042,1.0217168920263,"Right"
"Leucine",-0.373663826018158,-1.84702216840525,-2.14872732073932,-0.0719586736840933,-2.14872732073932,"Mid",-1.09705627103502,-0.352465946198717,-1.27895836322352,-0.170563854010211,-1.27895836322352,"Mid",-0.72339244501686,1.49455622220654,0.869768957515794,-0.098605180326118,1.49455622220654,"Right"
"Lysine",-0.43826158661353,-1.72912895779999,-2.10388645974066,-0.0635040846728566,-2.10388645974066,"Mid",-1.03260219981944,-0.319680053182245,-1.21300439561019,-0.139277857391497,-1.21300439561019,"Mid",-0.594340613205911,1.40944890461774,0.890882064130476,-0.0757737727186408,1.40944890461774,"Right"
