"Gene_id","name","Annot","Variant","ctl_minus_treat_Left","ctl_minus_treat_Right","ctl_minus_treat_Middle","ctl_minus_treat_Sides","treat_minus_ctl_Left","treat_minus_ctl_Right","treat_minus_ctl_Middle","treat_minus_ctl_Sides"
"1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1",FALSE,-0.633494847431086,-0.558849506869637,-0.741321811049164,-0.451022543251559,0.633494847431086,0.558849506869637,0.741321811049164,0.451022543251559
"A-type_18S:rRNA","A-type_18S:rRNA","A-type_18S:rRNA",FALSE,-0.255484617037494,-0.333608406863657,-0.186498776925624,-0.402594246975526,0.255484617037494,0.333608406863657,0.186498776925624,0.402594246975526
"A-type_28S:rRNA","A-type_28S:rRNA","A-type_28S:rRNA",FALSE,-0.134971160084313,-0.459473733258545,-0.332459569486172,-0.261985323856685,0.134971160084313,0.459473733258545,0.332459569486172,0.261985323856685
"BSD","BSD","BSD",FALSE,-1.25942259335195,-1.3778622406521,-2.12457936954057,-0.512705464463476,1.25942259335195,1.3778622406521,2.12457936954057,0.512705464463476
"Cas9","Cas9","Cas9",FALSE,-0.0030406412195053,-0.125677099657063,-0.0835535887037873,-0.0451641521727816,0.0030406412195053,0.125677099657063,0.0835535887037873,0.0451641521727816
"CsA","CsA","CsA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"DDdomain","DDdomain","DDdomain",FALSE,-0.0194994759482691,-0.355304990614015,-0.327544685510327,-0.0472597810519568,0.0194994759482691,0.355304990614015,0.327544685510327,0.0472597810519568
"DiCre","DiCre","DiCre",FALSE,-0.317293093599648,-0.290024550372204,-0.438093570023804,-0.169224073948047,0.317293093599648,0.290024550372204,0.438093570023804,0.169224073948047
"DsRed","DsRed","DsRed",FALSE,-0.120613232037945,-0.0950362273588467,-0.406680271856564,0.191030812459773,0.120613232037945,0.0950362273588467,0.406680271856564,-0.191030812459773
"eGFP_mut2","eGFP_mut2","eGFP_mut2",FALSE,-0.00683711036169432,-0.101518641623727,-0.218834103219777,0.110478351234355,0.00683711036169432,0.101518641623727,0.218834103219777,-0.110478351234355
"eYFP","eYFP","eYFP",FALSE,0.0267095470382792,-0.224915032565693,-0.258216954692654,0.0600114691652404,-0.0267095470382792,0.224915032565693,0.258216954692654,-0.0600114691652404
"FKBP","FKBP","FKBP",FALSE,0.491580864949302,0.143529066117349,0.332162144003516,0.302947787063134,-0.491580864949302,-0.143529066117349,-0.332162144003516,-0.302947787063134
"Fluciferase","Fluciferase","Fluciferase",FALSE,-0.0821081327197536,-0.430409927435835,-0.426754073896843,-0.0857639862587479,0.0821081327197536,0.430409927435835,0.426754073896843,0.0857639862587479
"GFP","GFP","GFP",FALSE,-0.146921322862521,0.0657109206194481,-0.0849275198491224,0.00371711760604944,0.146921322862521,-0.0657109206194481,0.0849275198491224,-0.00371711760604944
"GFP_pL6","GFP_pL6","GFP_pL6",FALSE,-0.179111693630778,-0.534070182962804,-0.511407355360908,-0.201774521232674,0.179111693630778,0.534070182962804,0.511407355360908,0.201774521232674
"HA_tag","HA_tag","HA_tag",FALSE,0.155572946600084,-0.224368719305574,-0.277708164342751,0.208912391637261,-0.155572946600084,0.224368719305574,0.277708164342751,-0.208912391637261
"HsDHFR","HsDHFR","HsDHFR",FALSE,0.228420366086385,-0.0108707854714105,-0.00996691152653698,0.227516492141513,-0.228420366086385,0.0108707854714105,0.00996691152653698,-0.227516492141513
"Leucine","Leucine","Leucine",FALSE,-0.35200394300297,-0.507657287305699,-0.712524603103998,-0.147136627204671,0.35200394300297,0.507657287305699,0.712524603103998,0.147136627204671
"Lysine","Lysine","Lysine",FALSE,-0.107940130773134,-0.206167089919639,-0.407775233778834,0.0936680130860609,0.107940130773134,0.206167089919639,0.407775233778834,-0.0936680130860609
"MAL11/13_5.8S:rRNA","MAL11/13_5.8S:rRNA","MAL11/13_5.8S:rRNA",FALSE,-0.197679490484643,-0.578863141861586,-0.418738437910497,-0.357804194435731,0.197679490484643,0.578863141861586,0.418738437910497,0.357804194435731
"MAL1_5.8S:rRNA","MAL1_5.8S:rRNA","MAL1_5.8S:rRNA",FALSE,-0.233550757946589,-0.589038502350092,-0.500656860874149,-0.321932399422532,0.233550757946589,0.589038502350092,0.500656860874149,0.321932399422532
"MAL5/7_5.8S:rRNA","MAL5/7_5.8S:rRNA","MAL5/7_5.8S:rRNA",FALSE,-0.173255571787318,-0.264966693131671,-0.095354737553204,-0.342867527365785,0.173255571787318,0.264966693131671,0.095354737553204,0.342867527365785
"MAL8a_5.8S:rRNA","MAL8a_5.8S:rRNA","MAL8a_5.8S:rRNA",FALSE,0.298821605284605,-0.203820261130053,0.129750208889665,-0.0347488647351135,-0.298821605284605,0.203820261130053,-0.129750208889665,0.0347488647351135
"mal_mito_1:mRNA","mal_mito_1:mRNA","mal_mito_1:mRNA",FALSE,-0.323603466166514,-0.22444315604707,-0.438367737349267,-0.109678884864316,0.323603466166514,0.22444315604707,0.438367737349267,0.109678884864316
