"Gene_id","name","Annot","Variant","Ctl_1","Ctl_2","Ctl_3","A_1","A_2","A_3","B_1","B_2","B_3"
"1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1",FALSE,2.15341915768284,-0.786193374112046,-1.47429810481541,-2.35181287046974,2.71917878281371,0.725352053433678,1.80871942146179,2.60556284622054,-2.21155047798998
"A-type_18S:rRNA","A-type_18S:rRNA","A-type_18S:rRNA",FALSE,2.68665914642861,-1.26889381125452,0.446769668262969,-1.6229009222899,2.93454853411373,1.07824551232533,1.13250228984005,1.65840308770178,-0.556915652641919
"A-type_28S:rRNA","A-type_28S:rRNA","A-type_28S:rRNA",FALSE,2.21444628741946,-0.13931745774203,0.923920850766163,0.511792586516767,2.37277092810809,0.0170893396741177,0.526089355815478,0.675546070256056,0.0536618803198316
"BSD","BSD","BSD",FALSE,-1.29208813839989,3.13381361056464,-1.90154132294163,-0.00685250384251606,1.97462886576762,-0.0778856419882192,-0.426452240139205,2.85613380853819,0.192240436380288
"Cas9","Cas9","Cas9",FALSE,2.36730212159807,0.990785216244439,-0.366228394355955,0.104014037972982,3.03359507093554,-0.45307584302078,2.74162519163452,2.04798355323421,-0.828923099339688
"CsA","CsA","CsA",FALSE,-2.26160702722775,0.990218161955966,0.880350247540827,0,0,0,0,0,0.177360093741609
"DDdomain","DDdomain","DDdomain",FALSE,3.33914872165104,0.467480844191628,-0.696430530909663,1.58403896860254,3.86632557640255,-0.115768030302536,4.71762402901939,2.35363540031029,-0.44540376451277
"DiCre","DiCre","DiCre",FALSE,3.52133465590995,1.43380485634158,-0.144048995374545,1.82553465868203,4.06515418106695,0.389377759113209,3.9657245895607,2.83929984939626,0.00196057438959918
"DsRed","DsRed","DsRed",FALSE,0.762522265908085,-0.223843499370792,-1.23720746608164,-1.85705428130825,1.08804444396831,-1.48859408133599,0.702555840269393,0.154696699331521,-2.14186858464998
"eGFP_mut2","eGFP_mut2","eGFP_mut2",FALSE,2.0017826770746,0.859581903555006,0.142407655740233,-0.00569381777128031,2.48044194683335,0.177801601803645,1.84123405668414,1.23137543646569,-1.35895646843325
"eYFP","eYFP","eYFP",FALSE,3.09585466157421,0.870831398119594,-0.807327978110452,1.45155488238371,3.96021427805057,-0.118470084256348,4.06383878142006,2.99019675602282,-1.4706488825923
"FKBP","FKBP","FKBP",FALSE,2.82922510569569,0.427757396122526,-0.280521014936533,0.787569867172434,1.94759744791157,-0.00704289289950533,2.74599379499279,1.37793590896175,-0.110675896122954
"Fluciferase","Fluciferase","Fluciferase",FALSE,2.51858736926765,0.217359073339777,-1.29678261908406,0.768058829071247,3.18247826362584,-0.693863286910289,3.08168628280321,1.78229251363005,-1.23088150229919
"GFP","GFP","GFP",FALSE,1.87207605825784,0.4798311375795,-0.550181220960024,0.0249362538056809,2.44853110808516,0.0298274258855672,2.34099749942069,1.69830756640167,-1.39613066456383
"GFP_pL6","GFP_pL6","GFP_pL6",FALSE,3.45129718288838,1.11403920748927,-1.00117897432525,1.95257566261304,3.93257259094346,0.0331026896679196,4.32460186609825,2.74000668398738,-0.66131331650489
"HA_tag","HA_tag","HA_tag",FALSE,2.01611415337976,0.442430677667966,-0.747198662392012,-0.280978392247708,2.57046250505124,-0.372374861225208,2.3368182791831,1.23636950473681,-1.23799324807482
"HsDHFR","HsDHFR","HsDHFR",FALSE,2.60166255649224,0.711505993373097,-0.509463218646122,0.70344497741139,3.0049387952346,-0.340002090071606,3.72886417688744,1.78445396052694,-1.08349041556667
"Leucine","Leucine","Leucine",FALSE,3.37461126858578,0.292462150144907,-0.219105213882485,-0.249327030987233,3.51760809006549,0.538992431110126,3.50031929650683,2.48126964823716,-1.20641727828139
"Lysine","Lysine","Lysine",FALSE,3.34003303801098,0.23115404442178,-0.584845352077535,-0.0564620891433435,3.44494977240596,0.0154614792497136,3.40959301808477,2.35451157080426,-1.51909834380905
"MAL11/13_5.8S:rRNA","MAL11/13_5.8S:rRNA","MAL11/13_5.8S:rRNA",FALSE,3.52207320623119,-0.567564103448057,0.403801245559877,-0.475210730360837,3.68486998298397,0.770260966481301,1.16767051975897,1.72472298966359,-1.28495613118823
"MAL1_5.8S:rRNA","MAL1_5.8S:rRNA","MAL1_5.8S:rRNA",FALSE,3.46454081992597,-0.554337161424497,0.505319868422006,-0.568018035953017,3.71224425172362,0.788274021253599,0.981651754497759,1.69119824945377,-1.23847467651081
"MAL5/7_5.8S:rRNA","MAL5/7_5.8S:rRNA","MAL5/7_5.8S:rRNA",FALSE,3.22388480078007,-0.779338610036298,0.306739858552403,-0.593766558065917,3.65688927301711,0.620883377046015,1.10294811208984,1.63579287576929,-0.98309946006291
"MAL8a_5.8S:rRNA","MAL8a_5.8S:rRNA","MAL8a_5.8S:rRNA",FALSE,3.56673685169398,-0.735374533065136,0.32805131369776,-0.602298937021491,3.56916770247476,0.497051419311113,1.18860042737865,1.90377487876558,-1.68951384488511
"mal_mito_1:mRNA","mal_mito_1:mRNA","mal_mito_1:mRNA",FALSE,-1.99561004269675,-3.28968153195403,-1.77948404117821,-5.36247964406143,-2.42549744017873,-1.79893861409239,-3.77116565907665,-3.50204761380907,-2.35635976752224
"mal_mito_2:mRNA","mal_mito_2:mRNA","mal_mito_2:mRNA",FALSE,-2.368139297473,-3.92608244867145,-2.17094077704295,-5.2154329605495,-2.76540839448182,-1.77612127628906,-3.44143794944736,-3.79864398555291,-2.28404098679083
"mal_mito_3:mRNA","mal_mito_3:mRNA","mal_mito_3:mRNA",FALSE,-1.91635313559892,-3.34634260890876,-1.58046118328043,-4.80097730398009,-2.19246353621421,-1.47057829178638,-3.17065518220118,-3.37335550153451,-2.03484478664294
"malmito_rna_10:rRNA","malmito_rna_10:rRNA","malmito_rna_10:rRNA",FALSE,-1.38727482050045,-3.82307803068444,-2.03147084645549,-3.40556722508256,-1.82458823210793,-1.6048539944812,-3.65535481463538,-3.3787986135951,-2.61708064760227
"malmito_rna_1:rRNA","malmito_rna_1:rRNA","malmito_rna_1:rRNA",FALSE,-0.939506533812969,-3.47475613748333,-1.64913768777428,-3.43030200270356,-1.4336919606568,-1.26828525661665,-2.84536938158182,-2.93603398973756,-2.18975324052357
"malmito_rna_LSUF:rRNA","malmito_rna_LSUF:rRNA","malmito_rna_LSUF:rRNA",FALSE,-1.02127715253721,-3.75238968631177,-2.28609860981486,-4.17433648838987,-1.75691788831023,-2.03127131584105,-2.80719473797312,-3.23602860622357,-3.04268445601148
"malmito_rna_LSUG:rRNA","malmito_rna_LSUG:rRNA","malmito_rna_LSUG:rRNA",FALSE,-1.47088932092417,-3.80771590376483,-2.04771411247692,-4.23383384167021,-1.86897297978242,-1.38835919150899,-2.99753208549764,-3.34335793607568,-2.24887909261928
"malmito_rna_RNA4:rRNA","malmito_rna_RNA4:rRNA","malmito_rna_RNA4:rRNA",FALSE,-1.63703119721688,-1.65060018488866,-0.804912172840296,-4.02355757713923,-0.698095569966301,-0.569840567952827,-1.72644645977446,-1.78008026714434,-1.22080917746886
"malmito_rna_RNA5:rRNA","malmito_rna_RNA5:rRNA","malmito_rna_RNA5:rRNA",FALSE,-1.53411850297966,-3.82700912066566,-2.12652063821092,-3.15842238346669,-1.78843262583356,-1.18052410795859,-3.39559361101338,-3.13266469150348,-2.57960247977014
"malmito_rna_RNA7:rRNA","malmito_rna_RNA7:rRNA","malmito_rna_RNA7:rRNA",FALSE,-1.48087969212744,-3.57610998739687,-2.47443044855721,-3.49570336231417,-1.68167410454696,-1.90530846115488,-3.18927497866909,-3.28838718818227,-2.97240855824476
"malmito_rna_SSUF:rRNA","malmito_rna_SSUF:rRNA","malmito_rna_SSUF:rRNA",FALSE,-2.12771450096605,-2.33656176072609,-0.793181380391487,-4.65992704782092,-0.941816868364401,-0.519276033457099,-2.11116259227997,-2.0363989802673,-1.3903517720114
"malmito_SSUB:rRNA","malmito_SSUB:rRNA","malmito_SSUB:rRNA",FALSE,-1.8442760488882,-2.95610118133645,-0.921165458572869,-4.23199972876468,-1.20432601010524,-0.23100472302309,-2.362001868723,-2.46266870038926,-1.14004947826886
"mal_rna_10:rRNA","mal_rna_10:rRNA","mal_rna_10:rRNA",FALSE,-1.59212441086763,-2.60260430284337,-1.60306221290538,-4.00412907139481,-1.35355808181594,-1.16955226512707,-3.02201855630179,-2.78991173769096,-2.00936003160025
"mal_rna_14:rRNA","mal_rna_14:rRNA","mal_rna_14:rRNA",FALSE,0.00613450647975089,-3.12965728123527,-1.84288560074008,-2.25653738725173,-1.1660535609608,-0.899850623199579,-2.51577342825778,-2.61493393628011,-2.05314186460639
"mal_rna_15:rRNA","mal_rna_15:rRNA","mal_rna_15:rRNA",FALSE,-2.11988629834856,-2.29929800209215,-1.02048318016422,-4.46333026725936,-1.12587365804674,-0.737482178180701,-2.39200633415867,-2.04279830534369,-1.38520956883465
"mal_rna_17:rRNA","mal_rna_17:rRNA","mal_rna_17:rRNA",FALSE,0.379203857237601,-2.58413186826843,-1.2246463904265,-1.72425266510445,-0.870121512383693,-0.593673335129983,-1.8356347714824,-2.3166772582306,-1.12222979193439
"mal_rna_18:rRNA","mal_rna_18:rRNA","mal_rna_18:rRNA",FALSE,-0.253225077361023,-2.98321772260336,-1.71078647184002,0.118695078479435,-1.41413413690234,-1.47064578971115,-1.90460743300805,-2.56129842941181,-2.06902093037675
"mal_rna_19:rRNA","mal_rna_19:rRNA","mal_rna_19:rRNA",FALSE,-1.00811186317374,-3.08667682318669,-1.86449609369329,-3.0244334445537,-1.54459579775237,-1.41457195606289,-2.87695257108767,-2.89111104420128,-2.07338020891677
"mal_rna_9:rRNA","mal_rna_9:rRNA","mal_rna_9:rRNA",FALSE,-2.40739829963301,-2.58874050169361,-1.34974419643396,-4.39005346654936,-1.01695946453694,-1.03841013321784,-2.12721963234118,-2.32295875783939,-1.88276591822645
"mCherry","mCherry","mCherry",FALSE,0.487374720171631,-0.16817871002633,0.892216030191893,0.662743665992323,-0.183189780468107,0.390202976420714,0.263615924104055,0.214624163175147,0.665114229757658
"Mp_rRNA","Mp_rRNA","Mp_rRNA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ncRNA_thermreg","ncRNA_thermreg","ncRNA_thermreg",FALSE,-2.93522767075442,-3.92980661807699,-2.09734664350442,-3.86919526949774,-2.2451579511512,-3.04965353693438,-3.07934303375773,-3.14825834186263,-3.03578866745254
"neoR","neoR","neoR",FALSE,1.97623426824233,1.02900845119025,-0.807855137039083,0.794187369510053,2.49247957946862,-0.640950470980212,2.16022623813833,1.65579537248633,-1.74361525183652
"PF01TR004","PF01TR004","PF01TR004",FALSE,-2.09298849759239,-1.94396982851905,-0.303485472680194,-0.611697875302573,-1.28192903334707,-0.256505798681905,-1.84823900255456,-2.1959243192425,-0.248718327719654
"PF01TR006","PF01TR006","PF01TR006",FALSE,0.0906290067533769,-0.583514130585417,-2.12523326915939,0.242516591607336,-0.395012635327981,-1.24301117426741,0.0311539132414841,-0.480713614870223,-0.536616074898772
"PF02TR003","PF02TR003","PF02TR003",FALSE,-1.08840935062739,0.878414669995756,-1.14670376464847,-1.0895337681435,1.82459647281495,-1.35343602155441,-0.794935296969918,1.30816164094015,-1.29492468330338
"PF03TR001","PF03TR001","PF03TR001",FALSE,1.81133683006342,0.548173845387144,-0.597555136003091,0.241136463958981,1.94186010404259,-0.517452628819999,1.48840375661478,1.0586828873882,-1.03174617447986
"PF04TR001","PF04TR001","PF04TR001",FALSE,-2.41140168872167,-4.34303219888871,-0.524167396846825,-0.406528903639893,-2.53915999206008,0.178763761502585,-3.14011704154272,-2.19602881680239,0.033837827348508
