"Gene_id","name","Annot","Variant","Ctl_1","Ctl_2","Ctl_3","A_1","A_2","A_3","B_1","B_2","B_3"
"1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1","1396.pre-tRNA-Pro-1",FALSE,12.4533956553034,9.73764907808014,10.1223297584787,8.14134235397256,13.4384955915514,12.1738263944327,12.1841497848267,12.8052063882894,9.06608057732734
"A-type_18S:rRNA","A-type_18S:rRNA","A-type_18S:rRNA",FALSE,18.3938403914797,16.8735714770244,16.541775744566,16.9811145849377,18.245855804518,16.7451950440413,18.2170716401423,17.7650322267147,15.9146110027673
"A-type_28S:rRNA","A-type_28S:rRNA","A-type_28S:rRNA",FALSE,18.7024459791797,17.4267995392141,16.8060888888903,19.2821411740399,18.3934051223109,16.8430586007694,18.7151630117679,17.9070191503519,16.6615373502148
"BSD","BSD","BSD",FALSE,10.0504568029866,15.2075691841916,10.0112412349586,12.0218155990632,13.2327102166892,11.5721942946137,10.1898961977797,13.9339460174009,12.7733825894525
"Cas9","Cas9","Cas9",FALSE,9.71879196167072,8.48713814133976,7.68640322744119,7.61365949416598,10.2219532529923,8.15412151267381,9.84323629464424,8.84346723547808,6.61621754519203
"CsA","CsA","CsA",FALSE,2.8911858480245,2.14630688716209,1.49058964006929,2.09173198768557,2.59396777179752,0.141750593543381,1.70509720201904,2.56965853791545,4.70507994537503
"DDdomain","DDdomain","DDdomain",FALSE,7.91832057787953,5.65007959688126,4.48978475847681,6.64683329176542,8.0818725814895,5.29026452762777,8.37023178070885,6.35208366401153,5.90512543458048
"DiCre","DiCre","DiCre",FALSE,9.01987842379519,7.71894331579634,6.22784093121782,8.20061643877518,9.64235056497782,7.02429189884133,9.55964618078528,8.10286055611352,6.96333440063988
"DsRed","DsRed","DsRed",FALSE,10.5826213059488,10.5456865728193,9.69061963520774,8.31517518042651,11.3125649117471,9.25576946737895,9.94509391719263,9.97135163209516,10.0916008977461
"eGFP_mut2","eGFP_mut2","eGFP_mut2",FALSE,7.86191443428612,6.7377205572809,5.11007838487332,5.84763994565592,7.66337450914708,5.65700368439995,8.15711598460721,6.3475832800305,7.43250849461706
"eYFP","eYFP","eYFP",FALSE,11.2198529440595,9.39788440687254,7.8291994030793,9.97470474347164,11.7197088778176,8.96341746161828,11.8615793691709,10.5652077580917,9.50487392414148
"FKBP","FKBP","FKBP",FALSE,6.90105995923998,6.0717712485743,5.41257933066807,6.65001056544946,7.25738595681555,5.15019530132739,7.45019839675232,6.53642471940629,4.67580802906511
"Fluciferase","Fluciferase","Fluciferase",FALSE,10.9188679979782,9.79890786395925,8.60272177795229,9.96832128421602,11.5533039248122,8.85147534426527,11.8229401958528,10.3664109190364,8.44848420196658
